查询院校名称,页面院校名称,主管部门,院校省份,城市,985,211,双一流,类型,层次,性质,省份,批次,科类,专业组,选科要求,专业,最低分,最低位次,人数,批次线差,备注
中国人民大学,中国人民大学,教育部,北京,北京,,,双一流,综合,本科,公办,江西,本科批,首选物理,502,首选物理 再选化学,"统计学类-(经济统计学、应用统计学、统计学、数据科学)(大类中专业任选。国际交流：含威斯康星大学统计学硕士项目、爱荷华州立大学统计学博士推荐项目等。)-4, 理科试验班-(化学与生命资源)(化学、环境科学与工程)(无时点专业选择：学院内专业任选，毕业时认定专业。拥有交叉融合双全球ESI前1%的化学与环境专业。本科生深度参与科研，顶尖仪器设备全面开放，全程导师精心指导。实践机会丰富，亲访生态文明建设前沿，知行合一，助力学子的全面成长。)-2, 理科试验班-(国民经济与数科创新人才班)(数据科学与大数据技术(应用经济学院国民经济与数科双学位项目))(应用经济学院与统计学院共同培养，毕业获经济学、理学双主学士学位)-2, 计算机类-(计算机科学与技术、信息安全、数据科学与大数据技术、信息管理与信息系统)(依托教育部智能基座基地、拔尖基地2.0、一部六院项目；“大数据+人工智能”特色培养体系；无时点自主专业选择；全部国家级一流本科专业；国际合作：美国纽约州立大学宾汉姆顿分校双学位项目、英国曼彻斯特大学硕士项目等。)-2, 数学类-(数学与应用数学、数据计算及应用)(无时点专业选择；开拓国际交流视野，搭建国际化合作平台，与新加坡国立大学联合开展“3+1+1”本科+硕士两阶段培养项目。)-2, 理科试验班-(金融与大数据技术创新人才班)(金融工程(财政金融学院金融学与大数据技术双学位项目))(财政金融学院与信息学院共同培养，毕业获经济学、工学双主学士学位)-2, 统计学类-(统计与国土治理创新人才班)(经济统计学)(统计学院与公共管理学院共同培养，毕业获经济学、管理学双主学士学位)-2, 人工智能-(培养人工智能精英人才。学科实力和师资力量雄厚。长周期衔接培养，高质量中英文课程。本科生科研领航计划，全员配备学术导师，多位本科生发表国际论文。实践资源丰富，5个省部级实验室和研究中心，3个校企联合实验室，20+高端实践基地。)-2, 数学类-(经济学与数学创新人才班)(数学与应用数学)(数学学院与经济学院共同培养，毕业获理学、经济学双主学士学位)-2, 理科试验班类-(严济慈物理学拔尖人才班)(物理学)-1",,,21.0,,
中国人民大学,中国人民大学,教育部,北京,北京,,,双一流,综合,本科,公办,江西,本科批,首选物理,561,首选物理 再选不限,"农业经济管理类-(智农创新人才班)(农林经济管理)(农业与农村发展学院和信息学院共同培养，毕业获管理学、工学双主学士学位)(国家专项)-2, 新闻传播学类-(新闻学、广播电视学、广告学、传播学、国际新闻与传播)(无时点专业选择；培养方向涵盖智能传播、全媒体新闻生产、国际传播、视听传播等国家前沿战略发展领域；特色培养项目：国际新闻传播战略人才班；国际交流：与多所世界知名大学新闻院系建立联合培养关系，境外交流奖学金资助全员覆盖。)(国家专项)-1",,,3.0,,
中国人民大学,中国人民大学,教育部,北京,北京,,,双一流,综合,本科,公办,江西,本科批,首选物理,562,首选物理 再选化学,"理科试验班-(商业数据分析与AI管理)(管理科学(商学院))(内设工商管理、财务管理、会计学、市场营销、管理科学、贸易经济6个专业，无时点专业选择。特色培养项目：中意美三学位管理学战略人才班；国际交流：含新加坡南洋理工大学、西班牙ESADE商学院、荷兰阿姆斯特丹大学等校免学费交流项目。)(国家专项)-3, 理科试验班-(化学与生命资源)(化学、环境科学与工程)(无时点专业选择：学院内专业任选，毕业时认定专业。拥有交叉融合双全球ESI前1%的化学与环境专业。本科生深度参与科研，顶尖仪器设备全面开放，全程导师精心指导。实践机会丰富，亲访生态文明建设前沿，知行合一，助力学子的全面成长。)(国家专项)-3, 理科试验班类-(物理)(物理学、材料物理)(无时点专业选择：学院内专业任选，毕业时认定专业。基础学科拔尖培养计划2.0基地。拥有“量子态构筑与测控”教育部重点实验室、国际一流科研条件，培养多学科未来领军学者。学生通过多种科研计划和资助进入团队进行研究式学习。)(国家专项)-2",,,8.0,,
北京科技大学,北京科技大学,教育部,北京,北京,,,双一流,理工,本科,公办,江西,本科批,首选物理,501,首选物理 再选不限,大数据管理与应用-(大数据与金融试验班)(大一学年结束可分流至大数据管理与应用、信息管理与信息系统、金融工程、数字经济专业。)-7,,,7.0,,
北京科技大学,北京科技大学,教育部,北京,北京,,,双一流,理工,本科,公办,江西,本科批,首选物理,502,首选物理 再选化学,"工科试验班类-(卓越工程人才)(材料科学与工程、机械工程、自动化、能源与动力工程、碳中和科学与工程、智能采矿工程、冶金工程、智能建造)(精英人才项目，特殊培养政策详见学校本科招生网。)-7, 人工智能-5, 数学类-(数学与应用数学、信息与计算科学、统计学)-5, 理科试验班-(拔尖人才计划)(材料科学与工程、计算机科学与技术、人工智能、机器人工程、自动化)(精英人才项目，全校专业任选，特殊培养政策详见学校本科招生网。)-4, 应用物理学-(大一学年结束可分流至应用物理学、电子科学与技术专业。)-3, 应用化学-2, 材料智能技术-2, 生物技术-2, 纳米材料与技术-(前沿材料与未来技术)-2, 理科试验班-(纳米科学与工程试验班)(纳米材料与技术、材料科学与工程)(精英人才项目，特殊培养政策详见学校本科招生网。)-1, 材料科学与工程-(高精尖班)(精英人才项目，特殊培养政策详见学校本科招生网。)-1",,,34.0,,
北京科技大学,北京科技大学,教育部,北京,北京,,,双一流,理工,本科,公办,江西,本科批,首选物理,503,首选物理 再选化学,"机械类-(机器人工程、智能制造工程、机械工程、车辆工程、物流工程、工业设计)-18, 能源动力类-(能源、环境专业)(能源与动力工程、新能源科学与工程、环境工程、环境科学)-11, 自动化类-(自动化、测控技术与仪器、智能感知工程)-9, 材料科学与工程-(大一学年结束可分流至材料科学与工程、材料物理、材料化学、无机非金属材料工程、材料成型及控制工程、高分子材料与工程专业。百分百满足学生分流意愿。)-9, 计算机类-(计算机科学与技术、信息安全、物联网工程)-9, 通信工程-4, 储能科学与工程-3, 安全工程-(大一学年结束可分流至安全工程、职业卫生工程专业。)-2",,,65.0,,
北京科技大学,北京科技大学,教育部,北京,北京,,,双一流,理工,本科,公办,江西,本科批,首选物理,561,首选物理 再选化学,"矿业类-(采矿工程、智能采矿工程、矿物加工工程、工程力学)(入学后可参与采矿工程国际班选拔)(与北语西班牙语联合学士学位项目。特殊培养政策详见学校本科招生网。)(国家专项)-4, 冶金工程-(低碳智慧冶金和战略金属提取)(特殊培养政策详见学校本科招生网。)(国家专项)-3, 土木类-(未来城市建设、诊治与运维)(智能建造、建筑环境与能源应用工程、土木工程)(大一学年结束可分流至智能建造、工程管理、建筑环境与能源应用工程、土木工程专业。)(国家专项)-2, 应用物理学-(大一学年结束可分流至应用物理学、电子科学与技术专业。)(国家专项)-1, 安全工程-(大一学年结束可分流至安全工程、职业卫生工程专业。)(国家专项)-1, 生物技术-(国家专项)-1",,,12.0,,
北京大学,北京大学,教育部,北京,北京,,,双一流,综合,本科,公办,江西,本科批,首选物理,501,首选物理 再选化学,"地质学类-(地质学、地球化学)-2, 信息管理与信息系统-2, 环境科学-(环境、健康、生态、地理与资源环境)-2, 地球物理学类-(地球物理学、地理信息科学(遥感与地理信息系统)、空间科学与技术)-2, 工科试验班类-(理论与应用力学、工程力学、能源与环境系统工程、航空航天工程、生物医学工程、材料科学与工程)-2, 电子信息类-(电子信息科学与技术、微电子科学与工程)-1, 理科试验班类-(元培)(数学类、物理学类、地球物理学类、计算机类、电子信息类)-1, 计算机类-(计算机科学与技术、智能科学与技术)-1, 生物科学类-(生物科学、生物技术)-1, 理科试验班类-(法学院)(数学类)-1, 理科试验班类-(光华)(数学类)-1, 文物保护技术-(文保)-1, 天文学-(天体物理、天文高新技术和应用)-1, 理科试验班类-(经济)(数学类)-1, 数学类-(数学与应用数学(数学)、数学与应用数学(概率统计)、数学与应用数学(科学与工程计算)、数学与应用数学(信息科学)、数学与应用数学(金融))-1, 化学类-(化学、应用化学、应用化学(材料方向)、化学生物学)-1, 物理学类-(物理学、大气科学(大气与海洋))-1",,,22.0,,
北京大学,北京大学,教育部,北京,北京,,,双一流,综合,本科,公办,江西,本科批,首选物理,561,首选物理 再选不限,"公共管理类-(城市管理、行政管理)(国家专项)-1, 城乡规划-(国家专项)-1",,,2.0,,
北京大学,北京大学,教育部,北京,北京,,,双一流,综合,本科,公办,江西,本科批,首选物理,562,首选物理 再选化学,"地质学类-(地质学、地球化学)(国家专项)-1, 信息管理与信息系统-(国家专项)-1, 工科试验班类-(理论与应用力学、工程力学、能源与环境系统工程、航空航天工程、生物医学工程、材料科学与工程)(国家专项)-1",,,3.0,,
